name	brand	categories	sentimental_analysis	Categorie_DEF	rating	prices.amountMin	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.79	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		100.46	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		99.32	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.4	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		104.23	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.81	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		103.84	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		100.41	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.41	
Nike Jordan Men's Air Jordan 1 High The Return Basketball Shoe	Jordan	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		127.32	
Shimano 2016 Men's Elite Triathlon Cycling Shoes - Sh-tr9	Shimano	Athletic,Cycling,Men,Shoes,Clothing, Shoes & Jewelry,Sports	Positive	Athletic		199.9	
Shimano Men's Sh-mw7 Mountain Bike Shoe	Shimano	Athletic,Cycling,Men,Shoes,Clothing, Shoes & Jewelry,Sports	Positive	Athletic	4.333333333333333	189.95	
Shimano Men's Sh-mw7 Mountain Bike Shoe	Shimano	Athletic,Cycling,Men,Shoes,Clothing, Shoes & Jewelry,Sports	Positive	Athletic	4.333333333333333	189.95	
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps	Prada Sport	Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport	Positive	Prada Sport	5.0	173.68	
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps	Prada Sport	Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport	Positive	Prada Sport	5.0	175.25	
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps	Prada Sport	Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport	Positive	Prada Sport	5.0	170.53	
Em Trail N 2	Pearl iZUMi	Athletic,Men,Running,Shoes,Clothing, Shoes & Jewelry	Positive	Athletic		120.0	
Nike Men's Zoom Hyperrev 2015 Basketball Shoe	Nike	Clothing,Shoes,Men's Shoes,All Men's Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		130.0	
Nike Men's Zoom Hyperrev 2015 Basketball Shoe	Nike	Clothing,Shoes,Men's Shoes,All Men's Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		101.2	
Smith Optics Pivlock Arena Max Sunglass With Super Platinum	Smith Optics	Outdoor Recreation,Accessories,Sunglasses,Men,Women,Clothing, Shoes & Jewelry,Sports,Sunglasses & Eyewear Accessories,Outdoor Clothing,Sports & Outdoors	Positive	Sports & Outdoors, Outdoor		159.0	
Smith Optics Pivlock Arena Max Sunglass With Super Platinum	Smith Optics	Outdoor Recreation,Accessories,Sunglasses,Men,Women,Clothing, Shoes & Jewelry,Sports,Sunglasses & Eyewear Accessories,Outdoor Clothing,Sports & Outdoors	Positive	Sports & Outdoors, Outdoor		159.0	
"Kd7 Ext Qs pony Hair"" Men's Basketball Shoes"""	Nike	Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		109.0	
Kobe X Elite Men's Basketball Shoe	Nike	Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		174.0	
Kobe X Elite Men's Basketball Shoe	Nike	Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		185.0	
Kobe X Elite Men's Basketball Shoe	Nike	Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		159.97	
New Balance Mt10 Men  Round Toe Canvas Black Trail Running	New Balance	Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes	Positive	Sneakers & Athletic Shoes, Athletic	5.0	160.0	
